Code,Name,Color,Rarity,Weight,CMC,Type,Bucket,Archetypes,NumArchetypes,Selesnya,Orzhov,Azorius,Dimir,Simic,Izzet,Rakdos,Golgari,Gruul,Boros
CW01,Clone Trooper Regiment,W,Common,2,1,Creature,Creature,Orzhov; Azorius; Selesnya,3,designed,generic,generic,,,,,,,
CW02,Coruscant Street Urchin,W,Common,2,1,Creature,Creature,Orzhov,1,,designed,,,,,,,,
CW03,Coruscant Senator,W,Common,2,2,Creature,Creature,Orzhov; Selesnya,2,secondary,designed,,,,,,,,
CW04,Communication Specialist,W,Common,2,2,Artifact Creature,Creature,Orzhov; Azorius,2,,generic,designed,,,,,,,
CW05,Droid Processing Unit,W,Common,2,3,Artifact,Other,Azorius,1,,,designed,,,,,,,
CW06,Winged Womp Rat,W,Common,2,3,Creature,Creature,Boros,1,,,,,,,,,,designed
CW07,Republic Deployment,W,Common,2,4,Sorcery,Instant/Sorcery,Azorius; Selesnya,2,designed,,generic,,,,,,,
CW08,Pit Droid Team,W,Common,2,5,Sorcery,Instant/Sorcery,Azorius,1,,,designed,,,,,,,
CW09,Senate Commando,W,Common,2,6,Creature,Creature,Orzhov; Azorius; Selesnya; Boros,4,designed,generic,generic,,,,,,,generic
CW10,Zillo Beast,W,Common,2,7,Creature,Creature,Orzhov; Azorius; Selesnya; Boros,4,generic,designed,generic,,,,,,,generic
CW11,Clegg Holdfast's Podracer,W,Common,2,4,Artifact,Other,Azorius; Boros,2,,,generic,,,,,,,designed
CW12,False Start,W,Common,2,2,Instant,Instant/Sorcery,Boros,1,,,,,,,,,,designed
CW13,Scrap Salvage,W,Common,2,1,Instant,Instant/Sorcery,Boros,1,,,,,,,,,,designed
CW14,Republic Battle Tactics,W,Common,2,2,Instant,Instant/Sorcery,Orzhov,1,,generic,,,,,,,,
CW15,Containment Field,W,Common,2,3,Enchantment,Other,Orzhov,1,,generic,,,,,,,,
CU01,Techno Service Droid,U,Common,2,1,Creature,Creature,Azorius; Dimir,2,,,secondary,designed,,,,,,
CU02,Maintenance Trooper,U,Common,2,2,Creature,Creature,Azorius; Izzet,2,,,generic,,,designed,,,,
CU03,Separatist Infiltrators,U,Common,2,2,Creature,Creature,Azorius; Golgari; Dimir,3,,,generic,designed,,,,secondary,,
CU04,Trade Federation Officer,U,Common,2,3,Creature,Creature,Dimir,1,,,,designed,,,,,,
CU05,Medical Droid,U,Common,2,4,Creature,Creature,Azorius,1,,,designed,,,,,,,
CU06,Astromech Investigator,U,Common,2,5,Artifact Creature,Creature,Azorius,1,,,designed,,,,,,,
CU07,Kamino Stormcaller,U,Common,2,6,Creature,Creature,Simic; Izzet; Dimir,3,,,,generic,secondary,designed,,,,
CU08,Naboo N-1 Starfighter,U,Common,2,4,Artifact,Other,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,designed,secondary,,,,
CU09,Force Push,U,Common,2,3,Sorcery,Instant/Sorcery,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,designed,generic,,,,
CU10,Clone Batch Production,U,Common,2,3,Instant,Instant/Sorcery,Azorius; Izzet,2,,,generic,,,designed,,,,
CU11,Jedi Meditation,U,Common,2,2,Instant,Instant/Sorcery,Simic,1,,,,,designed,,,,,
CU12,Force Stasis,U,Common,2,1,Enchantment,Other,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,generic,generic,,,,
CU13,Moment of Stillness,U,Common,2,4,Instant,Instant/Sorcery,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,generic,generic,,,,
CU14,Run Away Together,U,Common,2,2,Instant,Instant/Sorcery,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,generic,generic,,,,
CU15,Develop a Plan,U,Common,2,1,Instant,Instant/Sorcery,Azorius; Simic; Izzet; Dimir,4,,,designed,generic,generic,generic,,,,
CB01,Sith Acolyte,B,Common,2,1,Creature,Creature,Golgari; Rakdos,2,,,,,,,designed,generic,,
CB02,Battle Droid Scout,B,Common,2,2,Artifact Creature,Creature,Golgari; Dimir; Rakdos,3,,,,generic,,,generic,designed,,
CB03,Apprentice of the Dark Side,B,Common,2,2,Creature,Creature,Rakdos,1,,,,,,,designed,,,
CB04,Weequay Pirate,B,Common,2,3,Creature,Creature,Dimir,1,,,,designed,,,,,,
CB05,Pyke Syndicate Warrior,B,Common,2,3,Creature,Creature,Orzhov; Golgari; Rakdos,3,,designed,,,,,generic,generic,,
CB06,Mastiff Phalones,B,Common,2,4,Creature,Creature,Orzhov,1,,designed,,,,,,,,
CB07,The Last Geonosian,B,Common,2,5,Creature,Creature,Golgari,1,,,,,,,,designed,,
CB08,Banking Clan Enforcer,B,Common,2,5,Creature,Creature,Orzhov; Dimir,2,,generic,,designed,,,,,,
CB09,Trade Federation MTT,B,Common,2,5,Artifact,Other,Golgari; Dimir,2,,,,generic,,,,designed,,
CB10,Sabotage Mission,B,Common,2,3,Sorcery,Instant/Sorcery,Orzhov; Golgari; Dimir; Rakdos,4,,generic,,designed,,,generic,generic,,
CB11,Political Leverage,B,Common,2,2,Instant,Instant/Sorcery,Orzhov; Golgari; Dimir; Rakdos,4,,designed,,generic,,,generic,generic,,
CB12,Intercept Beacon Transmissions,B,Common,2,4,Sorcery,Instant/Sorcery,Rakdos,1,,,,,,,designed,,,
CB13,Drain the Living Force,B,Common,2,3,Instant,Instant/Sorcery,Golgari; Rakdos,2,,,,,,,designed,generic,,
CB14,Galactic Disturbance,B,Common,2,4,Instant,Instant/Sorcery,Golgari; Dimir; Rakdos,3,,,,secondary,,,secondary,secondary,,
